" and "," y "
"Bundle with dynamic pricing cannot include custom defined options. Options will not be saved.","Paquete con precios dinámicos no se puede incluir en la definición de opciones personalizadas. Las opciones no se grabaron."
"Bundle Items","Paquete de Artículos"
"Packages","Paquetes"
"For latest version visit: %s","Para versión actualizada visite: %s"
"Page","Página"
"Previous page","Página Anterior"
"Custom","Personalizado"
"Please make sure your passwords match.","Por favor asegúrese que las contraseñas coinciden."
"Please confirm site switching. All data that hasn't been saved will be lost.","Por favor confirmar cambio de sitio. Todos los datos que no fueron grabados se perderán."
"Please select one of the options.","Por favor elija una de las opciones."
"Please select one of the above options.","Por favor elija una de las siguientes opciones."
"Please select an option.","Por favor elija una opción."
"Please select State/Province.","Por favor escoja Estado/Provincia."
"Please wait, loading...","Por favor espere, cargando..."
"Please enter a valid social security number. For example 123-45-6789.","Por favor iingrese un número de seguridad social válido. Por ejemplo 123-45-6789."
"Please enter 6 or more characters.","Por favor ingrese 6 caracteres o más."
"Please use in this field only ""a-z,0-9,_"".","Por favor ingrese en este campo solamente ""a-z,0-9,_""."
"Please enter a valid zip code.","Por favor ingrese un código postal válido."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Por favor ingrese un código postal válido. Por ejemplo 90602 o 90602-1234."
"Please enter a valid email address. For example johndoe@domain.com.","Por favor ingrese un correo electrónico válido. Por ejemplo johndoe@dominio.com."
"Please enter a valid $ amount. For example $100.00.","Por favor ingrese un monto $ válido. Por ejemplo $100.00."
"Please enter a valid credit card number.","Por favor ingrese un número de tarjeta de crédito válido."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Por favor ingrese un número de teléfono válido. Por ejemplo (123) 456-7890 o 123-456-7890."
"Please enter a number greater than 0 in this field.","Por favor ingrese un número mayor que 0 en éste campo."
"Please enter a valid number in this field.","Por favor ingrese un número válido en este campo."
"Please enter a valid value from list","Por favor ingrese un valor válido de la lista"
"Please enter a valid value, ex: 10,20,30","Por favor ingrese un valor válido, ejem: 10,20,30"
"Please enter valid password.","Por favor ingrese una contraseña válida."
"Please enter a valid date.","Por favor ingrese una fecha válida."
"Please enter a valid URL. http:// is required","Por favor ingrese una URL válida. http:// es obligatorio"
"Please enter a valid URL. For example http://www.example.com or www.example.com","Por favor ingrese una URL válida. Por ejemplo http://www.ejemplo.com o www.ejemplo.com"
"Please use numbers only in this field. please avoid spaces or other characters such as dots or commas.","Por favor solamente use números en éste campo. Evite espacios u otros caracteres como puntos o comas."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Por favor use éste formato de fecha: dd/mm/yyyy. Por ejemplo 17/03/2006 para el 17 de marzo, 2006."
"Please use only letters (a-z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","Por favor use sólo letras (a-z) o números (0-9) en éste campo. No se permiten espacios u otros caracteres."
"Please use letters only (a-z) in this field.","Por favor use solamente letras (a-z) en este campo."
"per page","por página"
"Price","Precio"
"Final Price","Precio Final"
"Price:","Precio:"
"Product","Producto"
"Products","Productos"
"Available Products","Productos Disponibles"
"Current Configuration Scope:","Rango de la Configuración Actual:"
"Recommended","Recomendado"
"Resources","Recursos"
"Roles Resources","Recursos de Roles"
"Summary:","Resumen:"
"Role","Rol"
"Role Users","Rol de Usuarios"
"Roles","Roles"
"User Roles","Roles del Usuario"
"Path","Ruta"
"Add Contents Path","Ruta para añadir contenidos"
"Path:","Ruta:"
"Log Out","Salir"
"Only mapped fields","Sólo campos mapeados"
"Magento Core Api Section","Sección Core Api Magento"
"Track this shipment","seguir éste despacho"
"Track order","Seguir Pedido"
"Date selection:","Selección de Fecha:"
"Shipping method selection is not applicable","Selección de Método de Despacho no es aplicable"
"Time selection:","Selección de Tiempo:"
"Select Date","Seleccionar Fecha"
"Select date","Seleccionar Fecha"
"Select Range","Seleccionar Rango"
"Select All","Seleccionar todos"
"Select Visible","Seleccionar Visibles"
"Date selector","Selector de Fecha"
"DHTML Date/Time Selector","Selector de Fecha/Tiempo DHTML"
"Decimal separator:","Separador Decimal:"
"Import Service","Servicio de Importación"
"Web Services","Servicos Web"
"Local Server","Servidor Local"
"Local/Remote Server","Servidor Local/Remoto"
"Yes","Si"
"Next year (hold for menu)","Siguiente Año (mantener presionado para menú)"
"Next month (hold for menu)","Siguiente mes (mantener presionado para menú)"
"Next page","Siguiente página"
"No search keywords.","Sin claves de búsqueda."
"Excl. Tax","Sin Impuestos"
"SKU","SKU"
"SKU:","SKU:"
"Switch/Solo Only","Solamente Switch/Solo"
"Switch/Solo/Maestro(UK Domestic) Only","Solamente Switch/Solo/Maestro(UK Domestic)"
"Your Account has been deactivated.","Su cuenta ha sido desactivada."
"Subpackage","Subpaquete"
"Subpackages","Subpaquetes"
"Old rate:","Tasa Anterior:"
"Phone:","Teléfono:"
"Client Session timeout (sec.)","Tiempo de la Sesión del Cliente (sec.)"
"Time:","Tiempo:"
"Store:","Tienda:"
"Type","Tipo"
"Address Type:","Tipo de Dirección:"
"Entity type:","Tipo de Entidad:"
"Credit Card Type","Tipo de Tarjeta de Crédito"
"Credit Card Type: %s","Tipo de Tarjeta de Crédito: %s"
"Type:","Tipo:"
"All","Todos"
"All fields","Todos los campos"
"All Websites","Todos los Sitios Web"
"Total %d records found","Total %d registros encontrados"
"Invoice Totals","Totales de Facturación"
"Credit Memo Totals","Totales de Notas de Crédito"
"Order Totals","Totales del Pedido"
"Data transfer:","Transferencia de Datos:"
"You have","Ud. tiene"
"Remote URL:","URL Remota:"
"Use Default Value","Usar valor por defecto"
"Please use only letters (a-z) or numbers (0-9) or spaces and # only in this field.","Use solamente letras (a-z) o números (0-9) o espacios y # en este campo."
"Users","Usuarios"
"User","Usurio"
"Value Delimiter:","Valor del delimitador "
"Default Values","valores por Defecto"
"Default (Admin) Values","Valores por Defecto (Admin)"
"View","Ver"
"View Statistics for","Ver Estadísticas para"
"Magento ver. %s","Versión de Magento %s"
"Version:","Versión:"
"Visibility:","Visibilidad:"
"Email Preview","Vista Previa del Correo"
"Warning!rnThis action will remove this user from already assigned rolernAre you sure?","Warning!rnThis action will remove this user from already assigned rolernAre you sure?"
"Warning!rnThis action will remove those users from already assigned rolesrnAre you sure?","Warning!rnThis action will remove those users from already assigned rolesrnAre you sure?"
"MS Excel XML","XML MS Excel"
