"* Required Fields","* Campos obligatorios"
"Can't share customer accounts global. Because some customer accounts with same emails exist on multiple websites and cannot be merged.","Can't share customer accounts global. Because some customer accounts with same emails exist on multiple websites and cannot be merged."
"City","Ciudad"
"Registered Customers","Clientes registrados"
"Company","Compañía"
"Config","Config"
"Confirm Password","Confirmar contraseña"
"Confirm New Password","Confirmar nueva contraseña"
"Confirmation Link Email","Confirmation Link Email"
"Confirmed","Confirmed"
"Continue Shopping","Continuar comprando"
"Password","Contraseña"
"Current Password","Contraseña actual"
"Invalid current password","Contraseña actual incorrecta"
"Customer email already exists","Correo de cliente ya existe"
"Email","Correo Electrónico"
"Zip/Postal Code","CP/Código Postal"
"Create New Customer Account","Crear nueva cuenta de cliente"
"Create an Account","Crear una Cuenta"
"Create","Create"
"Create customer","Create customer"
"Create customer address","Create customer address"
"Create New Account Options","Create New Account Options"
"Create Order","Create Order"
"CSV","CSV"
"Customer","Customer"
"Customer Addresses","Customer Addresses"
"Customer Api","Customer Api"
"Customer collection expected","Customer collection expected"
"Customer Configuration","Customer Configuration"
"Customer doesn't have primary billing address","Customer doesn't have primary billing address"
"Customer Group was successfully deleted","Customer Group was successfully deleted"
"Customer Group was successfully saved","Customer Group was successfully saved"
"Customer Groups","Customer Groups"
"Customer Information","Customer Information"
"Customer Login","Customer Login"
"Customer Since","Customer Since"
"Customer View","Customer View"
"Customer website id must be specified, when using website scope.","Customer website id must be specified, when using website scope."
"Customers","Customers"
"Customers Only","Customers Only"
"Customers Section","Customers Section"
"Date Added","Date Added"
"Date of Birth","Date of Birth"
"Date of Birth is required.","Date of Birth is required."
"Day","Day"
"Days in Wishlist","Days in Wishlist"
"DD","DD"
"Default Email Domain","Default Email Domain"
"Default Group","Default Group"
"Default Welcome Email","Default Welcome Email"
"Delete","Delete"
"Delete customer","Delete customer"
"Delete Customer","Delete Customer"
"Delete customer address","Delete customer address"
"Delete Customer Group","Delete Customer Group"
"Deleted Stores","Deleted Stores"
"Details","Detalles"
"Address","Dirección"
"Email Address","Dirección de correo"
"Default Shipping Address","Dirección de envío por defecto"
"Default Billing Address","Dirección de facturación"
"Primary Shipping Address","Dirección primaria de envío"
"Primary Billing Address","Dirección Primaria de Facturación"
"Addresses","Direcciones"
"Default Addresses","Direcciones por defecto"
"Disabled","Disabled"
"Edit","Edit"
"Edit Account Info","Edit Account Info"
"Edit Customer Group ""%s""","Edit Customer Group ""%s"""
"Edit Customer Groups","Edit Customer Groups"
"Edit Customer's Address","Edit Customer's Address"
"Edit Group","Edit Group"
"Edit Newsletters","Editar Boletines"
"Edit Address Entry","Editar dirección"
"Edit Address","Editar dirección"
"Edit Account Information","Editar información de la cuenta"
"Edit Personal Information","Editar información personal"
"Edit Newsletter Subscription","Editar la suscripción al Boletín"
"Your account balance is: %s","El balance de tu cuenta es: <strong>%s</strong>"
"Remove","Eliminar"
"Delete Address","Eliminar dirección"
"Email Sender","Email Sender"
"Entity collection is expected","Entity collection is expected"
"Submit","Enviar"
"Error during retrieval of option value: %s","Error during retrieval of option value: %s"
"This email address was not found in our records","Esta direccion de correo no se encuentra en los archivos"
"Status","Estado"
"State/Province","Estado/Provincia"
"This is My Primary %s Address","Está es mi dirección primaria en <strong>%s</strong>"
"Failed to confirm customer account.","Failed to confirm customer account."
"Fax","Fax"
"Date","Fecha"
"First name can't be empty","First name can't be empty"
"Forgot Email Sender","Forgot Email Sender"
"Forgot Email Template","Forgot Email Template"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information."
"Global","Global"
"Save","Grabar"
"Save Password","Grabar contraseña"
"Save Address","Grabar dirección"
"Thank you for registering with %s","Gracias por registrarse en %s"
"Grand Total","Grand Total"
"Group","Group"
"Group ""%s"" can not be deleted","Group ""%s"" can not be deleted"
"Group Information","Group Information"
"Group Name","Group Name"
"Customer Group","Grupo de clientes"
"Guest","Guest"
"There was an error while deleting the address","Ha ocurrido un error mientras se eliminaba la dirección"
"Hello, %s!","Hello, %s!"
"HTML","HTML"
"ID","ID"
"Wrong region id by selected country","id de región equivocada para el país seleccionado"
"If you have an account with us, please log in.","If you have an account with us, please log in."
"Contact Information","Información de contacto"
"Address Information","Información de dirección"
"Shipping Information","Información de envío"
"Billing Information","Información de facturación"
"Login Information","Información de ingreso"
"Account Information","Información de la cuenta"
"Account information was successfully saved","Información de la cuenta ha sido guardada correctamente."
"Personal Information","Información personal"
"Login","Ingresar"
"Login or Create an Account","Ingresar o crear una cuenta"
"Invalid attribute option specified for attribute %s (%s), skipping the record","Invalid attribute option specified for attribute %s (%s), skipping the record"
"Invalid attribute set specified, skipping the record","Invalid attribute set specified, skipping the record"
"Invalid customer data","Invalid customer data"
"Invalid email address","Invalid email address"
"Invalid email address ""%s""","Invalid email address ""%s"""
"Invalid login or password.","Invalid login or password."
"Invalid login or password.","Invalid login or password."
"Invalid option id specified for %s (%s), skipping the record","Invalid option id specified for %s (%s), skipping the record"
"Invalid store specified, skipping the record","Invalid store specified, skipping the record"
"IP Address","IP Address"
"Go to Address Book","Ir a Libreta de Direcciones"
"The address was successfully deleted","La dirección fue eliminada correctamente"
"The address was successfully saved","La dirección fue guardada correctamente"
"The address does not belong to this customer","La dirección no pertenece a este cliente"
"Last Activity","Last Activity"
"Last date subscribed","Last date subscribed"
"Last date unsubscribed","Last date unsubscribed"
"Last name can't be empty","Last name can't be empty"
"Last Url","Last Url"
"Leave empty for default (15 minutes).","Leave empty for default (15 minutes)."
"Leave empty for default (2). Valid range: 1-4","Leave empty for default (2). Valid range: 1-4"
"Address Book","Libreta de direcciones"
"Lifetime Sales","Lifetime Sales"
"Wishlist","Listado"
"Order List...","Listado de pedido..."
"Log In","Log In"
"Log in or Create an Account","Log in or Create an Account"
"Log in or Create an Account","Log in or Create an Account"
"Log Out","Log Out"
"Login and password are required","Login and password are required"
"M.I.","M.I."
"Manage Customers","Manage Customers"
"Shipping Method","Método de envío"
"Payment Method","Método de Pago"
"My Account","Mi Cuenta"
"My Wishlist","Mi Listado"
"My Tags","Mis etiquetas"
"My Orders","Mis pedidos"
"My Reviews","Mis Revisiones"
"Missing email, skipping the record","Missing email, skipping the record"
"Missing firstname, skipping the record","Missing firstname, skipping the record"
"Missing lastname, skipping the record","Missing lastname, skipping the record"
"MM","MM"
"Month","Month"
"My Account Dashboard","My Account Dashboard"
"My Dashboard","My Dashboard"
"n/a","n/a"
"Name","Name"
"Name and Address Options","Name and Address Options"
"Never","Never"
"New account","New account"
"New account confirmation key","New account confirmation key"
"New account confirmed","New account confirmed"
"New Customer","New Customer"
"New Customer Address","New Customer Address"
"New Customer Group","New Customer Group"
"New Customer Groups","New Customer Groups"
"New Group","New Group"
"New password","New password"
"Newsletter Finish","Newsletter Finish"
"Newsletter Information","Newsletter Information"
"Newsletter Received","Newsletter Received"
"Newsletter Start","Newsletter Start"
"Newsletter Subscription","Newsletter Subscription"
"You have not set a primary shipping address.","No ha configurado una dirección de envío."
"You have not set a primary billing address.","No ha configurado una dirección de facturación primaria."
"You have placed no products yet.","No ha elegido ningún producto."
"You have no default shipping address in your address book.","No hay ninguna dirección de envío por defecto en tu libreta de direcciones."
"No item specified.","No item specified."
"No Items Found","No Items Found"
"No Newsletter Found","No Newsletter Found"
"No product collections found","No product collections found"
"You have no default billing address in your address book.","No tiene dirección de envío en su libreta de direcciones."
"You have no additional address entries in your address book.","No tiene entradas adicionales en el libro de direcciones."
"You have no additional entries in your address book.","No tiene entradas adicionales en el libro de direcciones."
"You have no primary entries in your address book.","No tiene entradas en el libro de direcciones."
"First Name","Nombre"
"Not confirmed, can login","Not confirmed, can login"
"Not confirmed, cannot login","Not confirmed, cannot login"
"Not Sent","Not Sent"
"New Password","Nueva contraseña"
"New Address Entry","Nueva dirección"
"New Address","Nueva dirección"
"New Customers","Nuevo cliente"
"Number of lines in a street address ","Number of lines in a street address "
"Offline","Offline"
"Online","Online"
"Online Customers","Online Customers"
"Online Customers Options","Online Customers Options"
"Online Minutes Interval","Online Minutes Interval"
"or","or"
"Items Order","Orden de artículos"
"Order Total","Order Total"
"Orders","Orders"
"Manage Addresses","Organizar direcciones"
"Country","País"
"Password can't be empty","Password can't be empty"
"Password fields can't be empty.","Password fields can't be empty."
"Password forgotten","Password forgotten"
"Password Management","Password Management"
"Password minimal length must be more %s","Password minimal length must be more %s"
"Password must have at least 6 characters. Leading or trailing spaces will be ignored.","Password must have at least 6 characters. Leading or trailing spaces will be ignored."
"Password Options","Password Options"
"Paused","Paused"
"PDF","PDF"
"Order #","Pedido #"
"Order #%s (%s)","Pedido #%s (%s)"
"Pending","Pending"
"Per Website","Per Website"
"Please enter your email below and we'll send you confirmation link for it.","Please enter your email below and we'll send you confirmation link for it."
"Please enter your email.","Please enter your email."
"Please make sure your passwords match.","Please make sure your passwords match."
"Please select","Please select"
"Please select region, state or province","Please select region, state or province"
"Please, check your e-mail for confirmation key.","Please, check your e-mail for confirmation key."
"Please enter your email below and we'll send you a new password.","Por favor introduzca su email y le enviaremos una nueva contraseña."
"Please enter your email below and we'll send you a new password.","Por favor introduzca su email y le enviaremos una nueva contraseña."
"Price","Precio"
"Ext. Price","Precio Ext."
"Prefix","Prefix"
"Prefix dropdown options","Prefix dropdown options"
"Problem saving the collection, aborting. Error: %s","Problem saving the collection, aborting. Error: %s"
"Product ID","Product ID"
"Product name","Product name"
"Product Name","Product Name"
"Product Reviews","Product Reviews"
"Product Tags","Product Tags"
"Product","Producto"
"Purchase On","Purchase On"
"Purchased at","Purchased at"
"Recent Orders","Recent Orders"
"Records for ""","Records for """
"Retrieve your password here","Recupera tu contraseña aquí"
"Refunded","Refunded"
"Require Emails Confirmation","Require Emails Confirmation"
"Retrieve address data","Retrieve address data"
"Retrieve address info","Retrieve address info"
"Retrieve customer addresses","Retrieve customer addresses"
"Retrieve customer data","Retrieve customer data"
"Retrieve customer's groups","Retrieve customer's groups"
"Retrieve customers","Retrieve customers"
"Retrieve customers info","Retrieve customers info"
"Retrieve your confirmation link here","Retrieve your confirmation link here"
"Sales Statistics","Sales Statistics"
"Save Customer","Save Customer"
"Save Customer Group","Save Customer Group"
"Saved ","Saved "
"You have been successfully logged out and will be redirected to our homepage in 5 seconds.","Se ha desconectado correctamente y será reenviado a la página principal en 5 segundos."
"Semicolon (;) separated values.<br/>Put semicolon in the beginning for empty first option.<br/>Leave empty for open text field.","Semicolon (;) separated values.<br/>Put semicolon in the beginning for empty first option.<br/>Leave empty for open text field."
"Send auto-generated password","Send auto-generated password"
"Send confirmation link","Send confirmation link"
"Send welcome email","Send welcome email"
"Send Welcome Email after Confirmation","Send Welcome Email after Confirmation"
"Sending","Sending"
"Sent","Sent"
"Session Start Time","Session Start Time"
"Set as Default Billing Address","Set as Default Billing Address"
"Set as Default Shipping Address","Set as Default Shipping Address"
"Share Customer Accounts","Share Customer Accounts"
"Ship to First name","Ship to First name"
"Ship to Last name","Ship to Last name"
"Shipped to First Name","Shipped to First Name"
"Shipped to Last Name","Shipped to Last Name"
"Shipped to Name","Shipped to Name"
"Shopping Cart","Shopping Cart"
"Shopping Cart - %d item(s)","Shopping Cart - %d item(s)"
"Show date of birth","Show date of birth"
"Show middle name (initial)","Show middle name (initial)"
"Show prefix","Show prefix"
"Show suffix","Show suffix"
"Show Tax/VAT number","Show Tax/VAT number"
"Skip import row, required field ""%s"" not defined","Skip import row, required field ""%s"" not defined"
"Skip import row, website ""%s"" field not exists","Skip import row, website ""%s"" field not exists"
"SKU","SKU"
"Store","Store"
"Store View","Store View"
"Street Address ","Street Address "
"Subject","Subject"
"Subscribe to newsletter","Subscribe to newsletter"
"Subscribed to Newsletter?","Subscribed to Newsletter?"
"Suffix","Suffix"
"Suffix dropdown options","Suffix dropdown options"
"Subscribe","Suscribir"
"Sign Up for Newsletter","Suscribirse al Boletín"
"Sign up for our newsletter","Suscribirse al Boletín"
"General Subscription","Suscripción general"
"Tag Name","Tag Name"
"Tax Class","Tax Class"
"Tax class","Tax class"
"Tax/VAT number","Tax/VAT number"
"TAX/VAT number is required.","TAX/VAT number is required."
"Telephone","Teléfono"
"Text","Text"
"Text One Line","Text One Line"
"The suffix that goes after name (Jr., Sr., etc.)","The suffix that goes after name (Jr., Sr., etc.)"
"The title that goes before name (Mr., Mrs., etc.)","The title that goes before name (Mr., Mrs., etc.)"
"There are no items in customer's wishlist at the moment","There are no items in customer's wishlist at the moment"
"There are no items in customer's shopping cart at the moment","There are no items in customer's shopping cart at the moment"
"This account is not confirmed.","This account is not confirmed."
"This customer has no saved addresses.","This customer has no saved addresses."
"This e-mail does not require confirmation.","This e-mail does not require confirmation."
"This Email will be sent instead of Default Welcome Email, after Account Confirmation.","This Email will be sent instead of Default Welcome Email, after Account Confirmation."
"Total","Total"
"Grand Total: %s","Total: <strong>%s</strong>"
"Type","Type"
"A new password was sent","Una nueva contraseña ha sido enviada"
"Unknown","Unknown"
"Unsubscribe from newsletter","Unsubscribe from newsletter"
"Update customer address data","Update customer address data"
"Update customer data","Update customer data"
"User description","User description"
"Use as my default billing address","Utilizar como mi dirección de facturación"
"Use as My Primary %s Address","Utilizar como mi dirección principal en <strong>%s</strong>"""
"Use as my default shipping address","Utilizar mi dirección de <strong>facturación</strong> por defecto"
"View Order List","Ver lista de órdenes"
"View Order","Ver pedido"
"View","View"
"Visible In","Visible In"
"Visitor","Visitor"
"Visitors Only","Visitors Only"
"Back to Login","Volver a Identificarse"
"Website","Website"
"Welcome Email","Welcome Email"
"Wishlist - %d item(s)","Wishlist - %d item(s)"
"Wrong confirmation key.","Wrong confirmation key."
"Wrong customer account specified.","Wrong customer account specified."
"Wrong email.","Wrong email."
"Wrong transactional account email type.","Wrong transactional account email type."
"XML","XML"
"Year","Year"
"You are currently not subscribed to any newsletter.","You are currently not subscribed to any newsletter."
"YYYY","YYYY"
"ZIP","ZIP"
"ZIP/Post Code","ZIP/Post Code"
"ZIP/Postal Code","ZIP/Postal Code"
